date,count,temperature,humidity,windspeed
2022-08-09,3030,20.5,37.3,11.0
2022-08-10,2126,18.1,68.9,15.3
2022-08-11,2246,14.4,54.1,6.8
2022-08-12,2435,18.8,62.5,17.0
2022-08-13,2869,14.2,57.5,12.6
2022-08-14,3705,17.1,41.5,15.9
2022-08-15,2420,13.2,55.7,0.9
2022-08-16,2124,12.6,58.4,16.5
2022-08-17,2226,12.3,45.1,16.2
2022-08-18,2533,15.7,46.2,6.0
2022-08-19,2440,13.8,45.5,13.0
2022-08-20,2918,16.3,60.0,17.7
2022-08-21,2300,11.8,43.3,26.9
2022-08-22,2612,16.0,45.7,10.5
2022-08-23,2379,13.0,52.0,14.7
2022-08-24,2779,17.5,53.4,9.3
2022-08-25,2841,16.7,47.2,17.5
2022-08-26,2331,13.4,64.3,5.9
2022-08-27,2754,14.0,64.4,10.5
2022-08-28,3270,14.1,40.9,14.9
2022-08-29,1801,14.4,65.3,14.2
2022-08-30,2547,12.4,54.2,11.9
2022-08-31,2895,15.6,55.5,11.8
2022-09-01,2452,11.3,56.2,10.0
2022-09-02,1869,7.6,38.5,19.6
2022-09-03,2979,12.8,39.1,14.1
2022-09-04,3211,11.7,52.9,5.9
2022-09-05,2139,13.8,42.9,17.0
2022-09-06,2015,12.9,70.7,17.3
2022-09-07,1971,11.5,44.5,22.1
2022-09-08,1847,11.3,55.5,24.9
2022-09-09,1962,11.1,39.8,14.5
2022-09-10,2044,8.9,64.7,22.9
2022-09-11,1983,7.2,62.2,16.4
2022-09-12,1687,8.0,34.8,18.3
2022-09-13,1896,9.6,49.4,12.0
2022-09-14,1548,3.9,47.1,14.6
2022-09-15,1888,8.2,58.6,12.6
2022-09-16,1686,6.6,26.4,2.6
2022-09-17,2426,8.6,42.9,12.9
2022-09-18,2917,6.6,52.4,5.5
2022-09-19,2236,8.5,42.0,16.4
2022-09-20,2404,7.6,39.3,0.0
2022-09-21,2172,11.1,32.3,15.6
2022-09-22,1921,6.8,46.8,4.3
2022-09-23,2304,6.8,41.9,9.2
2022-09-24,2557,7.2,31.6,13.0
2022-09-25,1951,2.4,44.2,16.9
2022-09-26,1523,4.0,37.1,8.3
2022-09-27,1903,10.0,44.9,13.9
2022-09-28,1907,7.5,48.4,20.7
2022-09-29,1821,6.2,51.2,13.9
2022-09-30,1836,8.4,45.0,17.7
2022-10-01,1865,5.0,33.8,14.3
2022-10-02,1970,4.6,40.1,21.7
2022-10-03,1580,4.3,38.6,19.5
2022-10-04,1194,0.3,49.8,22.1
2022-10-05,1623,6.9,35.6,14.2
2022-10-06,1255,3.8,53.5,13.4
2022-10-07,1928,3.8,40.8,2.9
2022-10-08,2143,3.0,46.3,7.7
2022-10-09,2065,2.0,37.2,8.1
2022-10-10,705,-2.3,50.6,20.0
2022-10-11,1479,3.5,35.8,11.8
2022-10-12,1983,8.4,53.8,8.2
2022-10-13,1466,5.2,43.8,12.9
2022-10-14,1394,1.8,46.7,10.1
2022-10-15,1990,-0.0,44.8,7.7
2022-10-16,2027,2.1,33.6,6.9
2022-10-17,1149,2.8,51.4,20.2
2022-10-18,1633,1.3,27.4,23.4
2022-10-19,1320,3.5,40.7,13.7
2022-10-20,950,-1.2,46.2,16.2
2022-10-21,1353,3.7,48.1,19.7
2022-10-22,2277,1.2,34.5,11.8
2022-10-23,1744,-0.8,35.6,16.3
2022-10-24,1749,-0.3,37.7,6.7
2022-10-25,1964,1.0,31.2,2.3
2022-10-26,1453,1.9,37.4,9.6
2022-10-27,1042,-0.0,32.1,20.9
2022-10-28,1329,1.0,43.2,13.6
2022-10-29,2599,5.4,37.6,6.6
2022-10-30,1430,-4.9,32.6,16.8
2022-10-31,560,-6.0,33.2,21.6
2022-11-01,1423,-1.0,40.4,8.8
2022-11-02,1100,-3.8,32.5,18.0
2022-11-03,579,-1.2,27.9,27.5
2022-11-04,1029,-5.7,30.3,12.3
2022-11-05,1457,-1.5,41.0,15.3
2022-11-06,2043,1.2,24.7,10.2
2022-11-07,1469,0.6,39.9,5.8
2022-11-08,605,-5.1,45.9,6.3
2022-11-09,589,-3.3,34.2,20.3
2022-11-10,1155,-0.5,36.8,17.5
2022-11-11,1420,1.7,27.3,13.4
2022-11-12,983,-5.4,31.4,26.6
2022-11-13,996,-5.3,34.8,12.6
2022-11-14,1003,-0.5,42.2,15.5
2022-11-15,984,-4.3,36.4,19.5
2022-11-16,960,-6.1,30.5,10.9
2022-11-17,1567,-1.1,35.3,8.7
2022-11-18,662,-8.0,30.0,11.6
2022-11-19,858,-5.7,53.9,8.2
2022-11-20,1797,-1.7,34.9,15.6
2022-11-21,777,-5.8,52.5,16.1
2022-11-22,1065,-2.4,27.5,11.1
2022-11-23,946,-7.5,32.6,1.9
2022-11-24,1470,-2.6,52.2,11.2
2022-11-25,1283,-3.5,38.5,6.6
2022-11-26,2066,-0.7,58.2,11.8
2022-11-27,940,-5.5,47.7,16.4
2022-11-28,399,-5.8,52.5,23.7
2022-11-29,806,-5.3,28.9,22.8
2022-11-30,1549,-2.5,43.2,6.6
2022-12-01,685,-7.1,39.0,15.6
2022-12-02,723,-5.6,55.0,11.3
2022-12-03,1500,-0.5,38.6,15.9
2022-12-04,744,-3.5,42.5,25.5
2022-12-05,960,-3.7,36.0,18.9
2022-12-06,1029,-6.9,29.3,17.4
2022-12-07,1090,-3.5,47.7,12.3
2022-12-08,577,-8.6,40.1,10.9
2022-12-09,444,-9.4,45.9,13.2
2022-12-10,518,-8.1,35.4,18.8
2022-12-11,971,-2.3,43.0,24.6
2022-12-12,459,-5.4,36.8,18.7
2022-12-13,783,-8.2,39.6,14.1
2022-12-14,694,-6.8,45.4,14.8
2022-12-15,640,-4.8,39.9,19.8
2022-12-16,592,-3.0,49.0,25.6
2022-12-17,143,-10.1,35.4,27.5
2022-12-18,1586,-2.6,41.6,9.6
2022-12-19,1068,-3.7,55.8,6.6
2022-12-20,650,-7.7,39.5,20.9
2022-12-21,773,-7.0,31.3,20.4
2022-12-22,112,-4.8,56.1,21.7
2022-12-23,396,-6.7,45.1,25.6
2022-12-24,1660,-5.6,38.1,14.1
2022-12-25,402,-8.6,37.3,20.3
2022-12-26,555,-10.5,51.5,8.8
2022-12-27,962,0.2,38.0,22.9
2022-12-28,574,-5.5,33.7,14.5
2022-12-29,955,-5.3,52.9,14.3
2022-12-30,1127,-4.6,49.9,8.4
2022-12-31,303,-2.4,53.2,23.6
2023-01-01,917,-3.4,44.3,20.9
2023-01-02,447,-8.3,52.2,19.1
2023-01-03,1125,-5.9,41.4,7.0
2023-01-04,600,-5.4,46.7,10.5
2023-01-05,783,-3.6,51.4,21.6
2023-01-06,622,-7.0,52.3,14.2
2023-01-07,505,-4.4,59.7,16.1
2023-01-08,752,-4.8,57.6,17.1
2023-01-09,1268,-1.8,44.3,12.4
2023-01-10,233,-11.7,47.6,21.6
2023-01-11,1007,-4.9,58.4,2.8
2023-01-12,661,-4.1,63.4,24.9
2023-01-13,534,-3.2,57.6,24.5
2023-01-14,970,-4.8,50.8,17.8
2023-01-15,736,-6.8,56.4,19.6
2023-01-16,613,-2.9,64.2,14.2
2023-01-17,386,-3.6,66.2,26.1
2023-01-18,505,-6.5,51.0,11.4
2023-01-19,431,-7.7,48.2,9.2
2023-01-20,658,-2.7,56.7,17.6
2023-01-21,760,-6.2,51.7,11.8
2023-01-22,1227,-2.3,57.0,13.0
2023-01-23,957,0.0,50.3,24.9
2023-01-24,1152,-3.1,60.3,2.7
2023-01-25,537,-2.9,62.2,19.1
2023-01-26,946,-3.0,70.2,8.4
2023-01-27,764,0.2,68.9,15.9
2023-01-28,1280,0.4,60.9,17.8
2023-01-29,1417,-2.7,52.3,16.8
2023-01-30,1173,-0.9,66.6,5.5
2023-01-31,482,-2.5,54.9,15.2
2023-02-01,275,-3.7,49.0,18.5
2023-02-02,856,-0.4,58.3,26.7
2023-02-03,1039,-2.4,50.2,16.9
2023-02-04,1010,-4.1,76.1,7.6
2023-02-05,1132,-5.5,70.0,10.0
2023-02-06,1253,0.9,72.4,9.2
2023-02-07,642,-3.9,58.3,22.7
2023-02-08,399,-4.0,61.1,19.9
2023-02-09,1408,-1.7,64.0,4.9
2023-02-10,1615,1.0,59.3,11.5
2023-02-11,892,-5.0,63.2,23.1
2023-02-12,1661,1.1,66.7,9.5
2023-02-13,1106,0.7,57.9,18.2
2023-02-14,1068,-3.2,63.5,12.9
2023-02-15,592,-2.8,74.4,16.3
2023-02-16,1262,-0.2,65.9,12.0
2023-02-17,1690,5.3,50.9,6.5
2023-02-18,2008,0.0,57.9,9.0
2023-02-19,1987,3.6,60.1,17.6
2023-02-20,1353,3.4,62.3,23.5
2023-02-21,913,-2.7,67.9,13.7
2023-02-22,890,1.5,59.5,17.6
2023-02-23,1173,4.2,79.5,18.2
2023-02-24,1321,0.7,65.6,8.3
2023-02-25,1977,5.2,71.6,8.8
2023-02-26,1179,-0.3,61.0,18.9
2023-02-27,1391,-1.1,51.8,17.7
2023-02-28,1312,1.7,72.4,10.0
2023-03-01,1846,4.7,75.3,3.6
2023-03-02,1324,2.3,77.2,10.9
2023-03-03,1447,5.8,68.7,11.1
2023-03-04,1235,-0.1,71.4,17.4
2023-03-05,1651,2.5,63.5,12.2
2023-03-06,1913,7.6,57.7,14.0
2023-03-07,511,-1.7,71.3,20.2
2023-03-08,1048,5.4,75.1,17.6
2023-03-09,1221,2.7,75.1,11.9
2023-03-10,1002,3.3,78.4,21.2
2023-03-11,1379,4.6,79.7,17.6
2023-03-12,844,1.9,78.6,25.1
2023-03-13,1683,8.2,78.5,10.9
2023-03-14,1491,7.5,74.8,15.7
2023-03-15,1749,9.4,68.5,12.3
2023-03-16,2034,7.0,57.4,7.8
2023-03-17,1491,4.4,75.2,8.6
2023-03-18,2163,8.7,84.9,15.8
2023-03-19,1559,3.9,78.0,18.5
2023-03-20,1120,5.2,90.1,12.0
2023-03-21,1908,13.0,80.5,13.7
2023-03-22,1894,10.7,59.3,22.5
2023-03-23,1642,9.4,84.4,14.1
2023-03-24,2372,12.2,69.0,12.2
2023-03-25,1803,8.0,75.9,20.3
2023-03-26,2356,10.5,73.7,11.9
2023-03-27,1169,7.2,76.9,18.3
2023-03-28,1155,8.6,90.5,12.2
2023-03-29,1383,9.9,87.3,15.2
2023-03-30,2459,13.7,67.1,13.2
2023-03-31,1286,8.4,81.7,11.6
2023-04-01,2930,13.1,72.9,15.7
2023-04-02,1899,10.6,89.0,25.7
2023-04-03,709,6.5,91.8,19.1
2023-04-04,1263,6.3,76.4,14.8
2023-04-05,1546,9.6,87.7,22.8
2023-04-06,2493,14.3,88.8,3.9
2023-04-07,1918,12.5,86.6,15.8
2023-04-08,2984,16.6,89.7,10.4
2023-04-09,2999,12.8,80.1,7.8
2023-04-10,2294,16.1,84.2,11.6
2023-04-11,1578,13.4,81.2,14.0
2023-04-12,1737,10.7,82.3,8.5
2023-04-13,1697,15.0,81.7,15.6
2023-04-14,2167,11.6,65.1,5.2
2023-04-15,2459,10.1,80.4,18.0
2023-04-16,1819,12.0,90.4,18.1
2023-04-17,1254,13.1,71.5,27.1
2023-04-18,2032,14.9,77.8,18.9
2023-04-19,1990,16.7,57.9,12.6
2023-04-20,2166,16.3,84.2,11.6
2023-04-21,2405,20.2,82.1,17.5
2023-04-22,2362,10.2,88.4,17.5
2023-04-23,2917,14.9,93.4,6.5
2023-04-24,3364,22.1,74.6,4.6
2023-04-25,1857,15.0,75.7,19.3
2023-04-26,1874,12.8,85.6,17.3
2023-04-27,2053,14.3,77.3,7.8
2023-04-28,1768,13.9,86.4,23.2
2023-04-29,3059,15.3,67.9,16.4
2023-04-30,3239,21.1,78.9,12.7
2023-05-01,2059,13.4,72.4,13.4
2023-05-02,2118,15.4,68.6,18.0
2023-05-03,2864,20.9,81.9,14.0
2023-05-04,2446,18.2,71.9,13.7
2023-05-05,2170,18.5,75.8,20.1
2023-05-06,3087,16.9,76.4,8.8
2023-05-07,2781,20.4,57.5,16.5
2023-05-08,1920,15.6,85.4,16.6
2023-05-09,2377,20.8,82.5,21.9
2023-05-10,2181,18.8,81.4,17.4
2023-05-11,2122,18.2,77.1,20.2
2023-05-12,1992,17.5,90.8,20.9
2023-05-13,3251,21.4,82.2,22.4
2023-05-14,3524,20.0,71.1,10.7
2023-05-15,2358,18.3,82.7,13.8
2023-05-16,2409,19.7,88.7,14.4
2023-05-17,1664,16.9,78.6,27.0
2023-05-18,2258,22.9,78.9,22.0
2023-05-19,2358,23.3,83.0,18.4
2023-05-20,3320,22.8,85.3,18.9
2023-05-21,2918,20.8,82.8,15.8
2023-05-22,2465,21.5,76.3,23.5
2023-05-23,1993,16.9,84.2,14.6
2023-05-24,2254,19.5,77.1,20.0
2023-05-25,2597,20.0,76.5,17.7
2023-05-26,2999,20.3,88.2,10.3
2023-05-27,3284,22.4,75.8,22.6
2023-05-28,2544,19.8,71.6,19.2
2023-05-29,2259,19.1,82.3,15.9
2023-05-30,3119,24.1,70.5,9.9
2023-05-31,2400,20.4,86.8,19.9
2023-06-01,2362,19.6,78.3,11.8
2023-06-02,1877,16.3,85.5,8.4
2023-06-03,2669,18.0,77.3,22.6
2023-06-04,3207,20.9,68.9,15.2
2023-06-05,2637,22.2,54.1,17.3
2023-06-06,1819,17.1,69.2,19.9
2023-06-07,2252,21.6,85.4,23.8
2023-06-08,2501,22.5,72.2,9.0
2023-06-09,2602,20.5,82.9,5.2
2023-06-10,2958,21.9,84.3,21.8
2023-06-11,3911,25.4,62.1,13.2
2023-06-12,2445,20.0,71.7,16.7
2023-06-13,2425,17.7,73.8,20.2
2023-06-14,2474,21.0,86.2,24.3
2023-06-15,2425,19.8,87.1,10.9
2023-06-16,2597,21.9,68.4,12.4
2023-06-17,3707,23.8,79.2,3.0
2023-06-18,3264,24.2,76.4,17.1
2023-06-19,2617,22.8,64.6,15.2
2023-06-20,2969,25.5,82.0,15.6
2023-06-21,2346,22.9,86.6,26.0
2023-06-22,2929,24.6,64.3,8.6
2023-06-23,2812,22.9,77.6,5.6
2023-06-24,4140,22.7,66.6,9.1
2023-06-25,2588,20.7,80.4,19.1
2023-06-26,2934,22.0,80.4,5.8
2023-06-27,2988,20.5,68.5,8.6
2023-06-28,2432,21.2,69.5,17.7
2023-06-29,2878,22.1,83.6,8.1
2023-06-30,3145,24.8,68.8,10.5
2023-07-01,3587,21.2,78.7,8.1
2023-07-02,3386,23.3,55.8,18.3
2023-07-03,2659,18.7,57.6,10.2
2023-07-04,2142,21.0,77.7,19.2
2023-07-05,2812,24.8,70.7,11.0
2023-07-06,2974,22.4,66.0,16.2
2023-07-07,2464,17.0,59.2,9.6
2023-07-08,2835,21.4,69.4,19.3
2023-07-09,4299,20.8,56.6,0.5
2023-07-10,2295,18.3,65.6,27.5
2023-07-11,2451,16.8,71.9,16.7
2023-07-12,2856,18.8,63.9,7.2
2023-07-13,2790,18.4,53.1,9.8
2023-07-14,2472,22.8,52.0,14.1
2023-07-15,3824,22.3,61.4,15.4
2023-07-16,3814,22.4,46.7,10.4
2023-07-17,2549,23.4,70.6,22.0
2023-07-18,2445,15.1,58.2,13.9
2023-07-19,2868,19.8,58.5,10.4
2023-07-20,2760,21.2,60.3,15.1
2023-07-21,2639,18.6,56.7,20.6
2023-07-22,3893,18.5,73.2,6.3
2023-07-23,3338,18.0,56.9,9.9
2023-07-24,2408,20.3,52.1,21.9
2023-07-25,2893,19.6,70.1,17.2
2023-07-26,3092,22.7,55.5,15.5
2023-07-27,2210,20.4,72.8,26.9
2023-07-28,2142,19.9,66.3,24.9
2023-07-29,3834,19.1,56.7,7.7
2023-07-30,3973,17.1,60.7,6.5
2023-07-31,2492,19.2,51.4,17.8
2023-08-01,2796,20.8,50.2,20.9
2023-08-02,2411,19.7,67.9,13.7
2023-08-03,2496,15.7,55.7,17.9
2023-08-04,2430,14.5,56.9,11.0
2023-08-05,3776,19.8,54.1,20.1
2023-08-06,3773,18.4,58.7,7.7
2023-08-07,2598,18.5,55.0,16.7
2023-08-08,2089,15.4,57.6,19.0
2023-08-09,2514,19.3,57.2,13.9
2023-08-10,2459,19.0,67.2,15.3
2023-08-11,2588,16.4,52.4,15.5
2023-08-12,3184,18.3,55.2,20.7
2023-08-13,3199,14.4,56.7,10.7
2023-08-14,2328,16.3,47.9,22.5
2023-08-15,2462,11.3,59.0,5.6
2023-08-16,2484,15.4,53.9,22.8
2023-08-17,2935,22.0,49.9,17.3
2023-08-18,2612,17.5,47.9,20.4
2023-08-19,2891,19.8,53.1,22.4
2023-08-20,2607,16.8,55.2,17.9
2023-08-21,1941,15.7,56.5,23.3
2023-08-22,2309,15.5,58.5,19.2
2023-08-23,2039,13.7,50.0,15.7
2023-08-24,1932,16.3,62.9,21.5
2023-08-25,2025,12.5,52.8,23.6
2023-08-26,3263,14.2,60.4,4.7
2023-08-27,3739,22.0,48.8,16.6
2023-08-28,2503,14.9,60.0,2.6
2023-08-29,2251,12.2,51.3,15.8
2023-08-30,2526,15.9,44.8,15.6
2023-08-31,2326,14.1,47.0,15.0
2023-09-01,1690,12.1,51.8,22.6
2023-09-02,2100,9.7,36.6,22.2
2023-09-03,2943,11.9,51.2,20.4
2023-09-04,2508,11.0,33.4,1.1
2023-09-05,1765,12.0,50.3,24.2
2023-09-06,2234,12.6,42.0,11.6
2023-09-07,2407,12.1,38.5,1.2
2023-09-08,1657,8.8,43.4,16.4
2023-09-09,2792,12.2,57.8,14.0
2023-09-10,2140,11.7,60.9,13.1
2023-09-11,1688,6.7,44.3,24.3
2023-09-12,1705,11.0,58.3,13.7
2023-09-13,1736,9.7,49.2,9.7
2023-09-14,1303,10.6,60.2,21.1
2023-09-15,1892,6.7,47.1,9.3
2023-09-16,2658,8.4,51.9,21.5
2023-09-17,3003,8.3,37.8,9.4
2023-09-18,1526,5.6,55.6,19.6
2023-09-19,1501,9.7,52.4,27.0
2023-09-20,1668,7.4,54.7,21.3
2023-09-21,1968,8.9,57.9,11.2
2023-09-22,1983,5.2,42.5,5.5
2023-09-23,2136,4.0,48.4,12.7
2023-09-24,3035,4.3,29.8,5.8
2023-09-25,1381,1.5,37.4,24.0
