date,price_eur_mwh
2021-05-13,67.93
2021-05-14,49.73
2021-05-15,30.11
2021-05-16,38.9
2021-05-17,52.46
2021-05-18,65.57
2021-05-19,88.77
2021-05-20,65.27
2021-05-21,75.03
2021-05-22,56.72
2021-05-23,55.05
2021-05-24,57.53
2021-05-25,58.49
2021-05-26,90.68
2021-05-27,82.96
2021-05-28,36.76
2021-05-29,71.29
2021-05-30,66.71
2021-05-31,65.09
2021-06-01,86.77
2021-06-02,75.27
2021-06-03,55.91
2021-06-04,66.99
2021-06-05,71.85
2021-06-06,57.07
2021-06-07,56.1
2021-06-08,27.54
2021-06-09,50.83
2021-06-10,48.16
2021-06-11,81.44
2021-06-12,53.58
2021-06-13,49.7
2021-06-14,55.92
2021-06-15,50.06
2021-06-16,160.13
2021-06-17,43.31
2021-06-18,62.24
2021-06-19,39.13
2021-06-20,42.91
2021-06-21,68.98
2021-06-22,69.44
2021-06-23,60.75
2021-06-24,65.74
2021-06-25,70.91
2021-06-26,45.63
2021-06-27,56.34
2021-06-28,72.87
2021-06-29,53.62
2021-06-30,61.16
2021-07-01,58.08
2021-07-02,72.71
2021-07-03,60.55
2021-07-04,48.71
2021-07-05,73.55
2021-07-06,90.12
2021-07-07,27.83
2021-07-08,44.75
2021-07-09,38.67
2021-07-10,41.42
2021-07-11,33.53
2021-07-12,61.87
2021-07-13,88.29
2021-07-14,67.65
2021-07-15,45.74
2021-07-16,45.92
2021-07-17,38.07
2021-07-18,56.22
2021-07-19,60.94
2021-07-20,61.83
2021-07-21,50.02
2021-07-22,46.98
2021-07-23,55.77
2021-07-24,42.79
2021-07-25,52.21
2021-07-26,50.6
2021-07-27,8.5
2021-07-28,37.0
2021-07-29,36.26
2021-07-30,51.56
2021-07-31,45.66
2021-08-01,46.42
2021-08-02,47.23
2021-08-03,50.11
2021-08-04,46.47
2021-08-05,50.31
2021-08-06,137.11
2021-08-07,49.85
2021-08-08,42.34
2021-08-09,58.4
2021-08-10,39.31
2021-08-11,49.0
2021-08-12,50.86
2021-08-13,39.36
2021-08-14,35.14
2021-08-15,42.48
2021-08-16,43.24
2021-08-17,48.05
2021-08-18,63.57
2021-08-19,67.76
2021-08-20,55.27
2021-08-21,47.41
2021-08-22,35.18
2021-08-23,46.46
2021-08-24,62.0
2021-08-25,63.6
2021-08-26,64.9
2021-08-27,63.18
2021-08-28,39.91
2021-08-29,38.62
2021-08-30,48.0
2021-08-31,68.66
2021-09-01,60.2
2021-09-02,40.81
2021-09-03,71.5
2021-09-04,43.22
2021-09-05,67.83
2021-09-06,62.31
2021-09-07,53.65
2021-09-08,47.6
2021-09-09,65.03
2021-09-10,72.6
2021-09-11,69.68
2021-09-12,59.07
2021-09-13,63.18
2021-09-14,91.24
2021-09-15,67.15
2021-09-16,55.38
2021-09-17,46.93
2021-09-18,46.27
2021-09-19,37.96
2021-09-20,56.98
2021-09-21,57.04
2021-09-22,54.81
2021-09-23,67.49
2021-09-24,36.83
2021-09-25,58.21
2021-09-26,48.43
2021-09-27,56.81
2021-09-28,74.9
2021-09-29,58.05
2021-09-30,55.89
2021-10-01,59.09
2021-10-02,36.94
2021-10-03,143.58
2021-10-04,51.8
2021-10-05,45.78
2021-10-06,67.18
2021-10-07,62.93
2021-10-08,49.35
2021-10-09,57.02
2021-10-10,57.06
2021-10-11,76.39
2021-10-12,75.49
2021-10-13,73.35
2021-10-14,68.18
2021-10-15,56.21
2021-10-16,30.89
2021-10-17,46.71
2021-10-18,15.92
2021-10-19,56.26
2021-10-20,53.99
2021-10-21,56.08
2021-10-22,67.2
2021-10-23,76.82
2021-10-24,68.82
2021-10-25,74.84
2021-10-26,53.93
2021-10-27,68.46
2021-10-28,72.85
2021-10-29,89.26
2021-10-30,71.26
2021-10-31,64.53
2021-11-01,86.19
2021-11-02,57.04
2021-11-03,42.29
2021-11-04,87.06
2021-11-05,61.98
2021-11-06,45.17
2021-11-07,76.58
2021-11-08,102.29
2021-11-09,73.42
2021-11-10,80.75
2021-11-11,87.56
2021-11-12,84.97
2021-11-13,59.34
2021-11-14,44.32
2021-11-15,78.42
2021-11-16,92.55
2021-11-17,76.69
2021-11-18,85.38
2021-11-19,81.88
2021-11-20,63.78
2021-11-21,54.55
2021-11-22,79.36
2021-11-23,73.94
2021-11-24,70.22
2021-11-25,69.54
2021-11-26,66.65
2021-11-27,63.28
2021-11-28,46.39
2021-11-29,75.79
2021-11-30,107.65
2021-12-01,72.9
2021-12-02,78.93
2021-12-03,96.78
2021-12-04,84.04
2021-12-05,103.43
2021-12-06,81.72
2021-12-07,70.55
2021-12-08,88.51
2021-12-09,105.46
2021-12-10,81.01
2021-12-11,74.32
2021-12-12,57.63
2021-12-13,60.21
2021-12-14,81.53
2021-12-15,107.39
2021-12-16,80.02
2021-12-17,154.28
2021-12-18,75.58
2021-12-19,63.83
2021-12-20,49.68
2021-12-21,82.89
2021-12-22,71.22
2021-12-23,99.4
2021-12-24,100.32
2021-12-25,76.55
2021-12-26,79.08
2021-12-27,72.49
2021-12-28,102.08
2021-12-29,99.57
2021-12-30,91.08
2021-12-31,161.65
2022-01-01,55.27
2022-01-02,85.96
2022-01-03,79.93
2022-01-04,91.12
2022-01-05,73.06
2022-01-06,120.41
2022-01-07,96.23
2022-01-08,75.33
2022-01-09,62.5
2022-01-10,107.2
2022-01-11,176.05
2022-01-12,120.88
2022-01-13,100.48
2022-01-14,69.45
2022-01-15,46.62
2022-01-16,70.72
2022-01-17,95.87
2022-01-18,98.47
2022-01-19,102.06
2022-01-20,147.62
2022-01-21,65.87
2022-01-22,115.42
2022-01-23,84.87
2022-01-24,93.74
2022-01-25,119.41
2022-01-26,98.94
2022-01-27,141.99
2022-01-28,124.24
2022-01-29,110.47
2022-01-30,74.75
2022-01-31,98.01
2022-02-01,120.34
2022-02-02,142.82
2022-02-03,118.63
2022-02-04,145.62
2022-02-05,114.26
2022-02-06,120.49
2022-02-07,136.93
2022-02-08,118.06
2022-02-09,86.88
2022-02-10,111.78
2022-02-11,106.4
2022-02-12,113.08
2022-02-13,98.09
2022-02-14,114.63
2022-02-15,141.75
2022-02-16,128.41
2022-02-17,111.41
2022-02-18,92.85
2022-02-19,187.44
2022-02-20,120.3
2022-02-21,137.08
2022-02-22,189.9
2022-02-23,115.25
2022-02-24,72.86
2022-02-25,119.94
2022-02-26,146.16
2022-02-27,136.95
2022-02-28,117.16
2022-03-01,117.33
2022-03-02,85.82
2022-03-03,130.19
2022-03-04,97.5
2022-03-05,124.75
2022-03-06,81.91
2022-03-07,124.86
2022-03-08,164.29
2022-03-09,158.34
2022-03-10,175.41
2022-03-11,142.01
2022-03-12,141.19
2022-03-13,106.41
2022-03-14,194.78
2022-03-15,127.19
2022-03-16,130.22
2022-03-17,133.04
2022-03-18,114.51
2022-03-19,117.82
2022-03-20,135.09
2022-03-21,161.62
2022-03-22,126.11
2022-03-23,140.72
2022-03-24,162.68
2022-03-25,131.38
2022-03-26,125.73
2022-03-27,111.03
2022-03-28,152.74
2022-03-29,187.08
2022-03-30,150.07
2022-03-31,107.86
2022-04-01,146.8
2022-04-02,75.34
2022-04-03,78.29
2022-04-04,149.67
2022-04-05,193.99
2022-04-06,124.32
2022-04-07,161.35
2022-04-08,169.72
2022-04-09,140.64
2022-04-10,5.0
2022-04-11,78.79
2022-04-12,149.77
2022-04-13,197.41
2022-04-14,150.49
2022-04-15,206.13
2022-04-16,158.9
2022-04-17,124.36
2022-04-18,185.33
2022-04-19,150.1
2022-04-20,156.75
2022-04-21,119.6
2022-04-22,193.7
2022-04-23,172.14
2022-04-24,159.87
2022-04-25,203.89
2022-04-26,175.99
2022-04-27,183.7
2022-04-28,277.91
2022-04-29,214.09
2022-04-30,156.06
2022-05-01,159.49
2022-05-02,175.87
2022-05-03,184.76
2022-05-04,199.77
2022-05-05,169.73
2022-05-06,184.4
2022-05-07,125.88
2022-05-08,48.05
2022-05-09,140.28
2022-05-10,199.23
2022-05-11,172.39
2022-05-12,243.79
2022-05-13,176.44
2022-05-14,166.68
2022-05-15,164.89
2022-05-16,177.43
2022-05-17,183.1
2022-05-18,246.87
2022-05-19,153.01
2022-05-20,201.38
2022-05-21,183.59
2022-05-22,171.67
2022-05-23,168.02
2022-05-24,234.8
2022-05-25,222.44
2022-05-26,192.04
2022-05-27,195.9
2022-05-28,186.3
2022-05-29,199.06
2022-05-30,218.84
2022-05-31,142.97
2022-06-01,131.85
2022-06-02,199.59
2022-06-03,205.79
2022-06-04,177.23
2022-06-05,163.82
2022-06-06,214.89
2022-06-07,249.61
2022-06-08,239.1
2022-06-09,164.3
2022-06-10,233.86
2022-06-11,223.95
2022-06-12,151.72
2022-06-13,195.27
2022-06-14,234.92
2022-06-15,230.29
2022-06-16,224.48
2022-06-17,204.43
2022-06-18,155.02
2022-06-19,119.52
2022-06-20,196.52
2022-06-21,209.58
2022-06-22,235.48
2022-06-23,230.86
2022-06-24,204.0
2022-06-25,226.77
2022-06-26,167.99
2022-06-27,68.12
2022-06-28,211.65
2022-06-29,215.18
2022-06-30,242.73
2022-07-01,228.32
2022-07-02,156.0
2022-07-03,166.29
2022-07-04,252.2
2022-07-05,226.1
2022-07-06,249.88
2022-07-07,229.2
2022-07-08,249.29
2022-07-09,205.62
2022-07-10,327.68
2022-07-11,294.99
2022-07-12,296.38
2022-07-13,254.68
2022-07-14,192.29
2022-07-15,306.72
2022-07-16,123.35
2022-07-17,300.96
2022-07-18,256.0
2022-07-19,214.59
2022-07-20,201.17
2022-07-21,284.89
2022-07-22,265.42
2022-07-23,246.2
2022-07-24,313.48
2022-07-25,270.99
2022-07-26,273.9
2022-07-27,270.85
2022-07-28,180.66
2022-07-29,285.76
2022-07-30,85.27
2022-07-31,115.2
2022-08-01,305.58
2022-08-02,189.42
2022-08-03,170.19
2022-08-04,180.15
2022-08-05,241.91
2022-08-06,88.39
2022-08-07,182.94
2022-08-08,217.02
2022-08-09,272.54
2022-08-10,297.89
2022-08-11,280.32
2022-08-12,326.88
2022-08-13,242.63
2022-08-14,280.03
2022-08-15,235.03
2022-08-16,304.63
2022-08-17,519.74
2022-08-18,402.64
2022-08-19,384.59
2022-08-20,287.48
2022-08-21,338.02
2022-08-22,375.82
2022-08-23,344.72
2022-08-24,364.84
2022-08-25,332.29
2022-08-26,368.25
2022-08-27,322.16
2022-08-28,306.3
2022-08-29,368.61
2022-08-30,242.91
2022-08-31,183.44
2022-09-01,278.0
2022-09-02,357.13
2022-09-03,235.24
2022-09-04,252.35
2022-09-05,290.4
2022-09-06,302.88
2022-09-07,304.06
2022-09-08,319.63
2022-09-09,353.08
2022-09-10,297.11
2022-09-11,271.45
2022-09-12,360.57
2022-09-13,371.38
2022-09-14,313.65
2022-09-15,280.59
2022-09-16,280.94
2022-09-17,238.27
2022-09-18,204.96
2022-09-19,195.06
2022-09-20,364.39
2022-09-21,384.68
2022-09-22,340.28
2022-09-23,383.03
2022-09-24,341.26
2022-09-25,262.82
2022-09-26,323.25
2022-09-27,316.66
2022-09-28,170.55
2022-09-29,222.86
2022-09-30,362.05
2022-10-01,327.49
2022-10-02,244.75
2022-10-03,241.16
2022-10-04,346.03
2022-10-05,286.72
2022-10-06,314.8
2022-10-07,282.49
2022-10-08,160.95
2022-10-09,186.04
2022-10-10,449.89
2022-10-11,353.93
2022-10-12,414.92
2022-10-13,366.65
2022-10-14,312.58
2022-10-15,255.11
2022-10-16,323.55
2022-10-17,324.56
2022-10-18,142.25
2022-10-19,241.81
2022-10-20,247.93
2022-10-21,285.05
2022-10-22,227.51
2022-10-23,197.52
2022-10-24,286.87
2022-10-25,314.53
2022-10-26,259.04
2022-10-27,274.55
2022-10-28,301.0
2022-10-29,221.66
2022-10-30,215.39
2022-10-31,373.07
2022-11-01,372.27
2022-11-02,250.8
2022-11-03,260.88
2022-11-04,263.86
2022-11-05,230.83
2022-11-06,397.27
2022-11-07,334.44
2022-11-08,324.46
2022-11-09,289.66
2022-11-10,347.7
2022-11-11,321.61
2022-11-12,228.85
2022-11-13,241.88
2022-11-14,229.96
2022-11-15,286.33
2022-11-16,261.08
2022-11-17,241.4
2022-11-18,303.8
2022-11-19,98.62
2022-11-20,108.99
2022-11-21,273.44
2022-11-22,236.6
2022-11-23,195.14
2022-11-24,235.94
2022-11-25,224.81
2022-11-26,278.76
2022-11-27,259.77
2022-11-28,268.42
2022-11-29,245.04
2022-11-30,281.03
2022-12-01,290.83
2022-12-02,363.7
2022-12-03,212.33
2022-12-04,128.87
2022-12-05,384.6
2022-12-06,227.47
2022-12-07,293.4
2022-12-08,172.87
2022-12-09,266.68
2022-12-10,254.08
2022-12-11,360.22
2022-12-12,302.91
2022-12-13,303.52
2022-12-14,331.31
2022-12-15,312.24
2022-12-16,309.93
2022-12-17,259.77
2022-12-18,215.81
2022-12-19,236.98
2022-12-20,215.44
2022-12-21,275.63
2022-12-22,260.92
2022-12-23,279.97
2022-12-24,203.19
2022-12-25,186.29
2022-12-26,268.88
2022-12-27,334.77
2022-12-28,301.43
2022-12-29,219.77
2022-12-30,212.04
2022-12-31,204.71
2023-01-01,240.28
2023-01-02,255.56
2023-01-03,173.71
2023-01-04,297.04
2023-01-05,209.45
2023-01-06,215.98
2023-01-07,197.38
2023-01-08,142.85
2023-01-09,204.44
2023-01-10,215.02
2023-01-11,215.69
2023-01-12,169.48
2023-01-13,166.72
2023-01-14,135.61
2023-01-15,123.26
2023-01-16,230.1
2023-01-17,233.18
2023-01-18,273.36
2023-01-19,150.11
2023-01-20,236.31
2023-01-21,205.24
2023-01-22,187.86
2023-01-23,271.38
2023-01-24,241.12
2023-01-25,233.33
2023-01-26,249.68
2023-01-27,231.95
2023-01-28,198.99
2023-01-29,115.6
2023-01-30,196.22
2023-01-31,246.62
2023-02-01,265.13
2023-02-02,225.05
2023-02-03,213.27
2023-02-04,190.38
2023-02-05,188.34
2023-02-06,238.63
2023-02-07,268.93
2023-02-08,240.25
2023-02-09,269.88
2023-02-10,203.39
2023-02-11,222.38
2023-02-12,236.85
2023-02-13,138.94
2023-02-14,243.26
2023-02-15,228.72
2023-02-16,294.77
2023-02-17,229.68
2023-02-18,200.18
2023-02-19,190.52
2023-02-20,116.37
2023-02-21,207.62
2023-02-22,248.51
2023-02-23,173.55
2023-02-24,144.56
2023-02-25,156.49
2023-02-26,176.13
2023-02-27,256.9
2023-02-28,178.69
2023-03-01,222.75
2023-03-02,253.1
2023-03-03,241.89
2023-03-04,162.0
2023-03-05,196.42
2023-03-06,193.98
2023-03-07,243.78
2023-03-08,175.93
2023-03-09,236.84
2023-03-10,184.3
2023-03-11,148.02
2023-03-12,122.71
2023-03-13,288.4
2023-03-14,193.64
2023-03-15,201.36
2023-03-16,240.91
2023-03-17,257.28
2023-03-18,183.23
2023-03-19,153.64
2023-03-20,167.3
2023-03-21,189.96
2023-03-22,181.21
2023-03-23,170.37
2023-03-24,230.79
2023-03-25,111.39
2023-03-26,87.71
2023-03-27,198.26
2023-03-28,169.46
2023-03-29,233.88
2023-03-30,247.38
2023-03-31,231.95
2023-04-01,247.01
2023-04-02,156.33
2023-04-03,203.44
2023-04-04,246.53
2023-04-05,244.16
2023-04-06,154.16
2023-04-07,154.78
2023-04-08,126.46
2023-04-09,163.43
2023-04-10,178.01
2023-04-11,216.84
2023-04-12,168.33
2023-04-13,211.62
2023-04-14,182.69
2023-04-15,124.9
2023-04-16,157.58
2023-04-17,214.87
2023-04-18,241.49
2023-04-19,118.8
2023-04-20,211.21
2023-04-21,224.65
2023-04-22,181.69
2023-04-23,169.99
2023-04-24,172.37
2023-04-25,176.02
2023-04-26,200.61
2023-04-27,220.31
2023-04-28,254.19
2023-04-29,191.86
2023-04-30,139.08
2023-05-01,130.3
2023-05-02,185.73
2023-05-03,213.29
2023-05-04,161.45
2023-05-05,222.68
2023-05-06,135.27
2023-05-07,168.18
2023-05-08,158.32
2023-05-09,159.32
2023-05-10,184.2
2023-05-11,222.45
2023-05-12,277.61
2023-05-13,145.15
2023-05-14,162.36
2023-05-15,173.3
2023-05-16,173.42
2023-05-17,197.54
2023-05-18,193.0
2023-05-19,188.78
2023-05-20,186.19
2023-05-21,129.29
2023-05-22,176.67
2023-05-23,171.58
2023-05-24,149.43
2023-05-25,152.47
2023-05-26,109.39
2023-05-27,68.54
2023-05-28,94.94
2023-05-29,143.19
2023-05-30,158.24
2023-05-31,168.19
2023-06-01,207.02
2023-06-02,185.98
2023-06-03,114.98
2023-06-04,118.28
2023-06-05,27.83
2023-06-06,170.33
2023-06-07,162.47
2023-06-08,162.82
2023-06-09,217.8
2023-06-10,189.85
2023-06-11,137.4
2023-06-12,213.12
2023-06-13,198.26
2023-06-14,243.57
2023-06-15,148.17
2023-06-16,172.22
2023-06-17,104.9
2023-06-18,104.68
2023-06-19,154.31
2023-06-20,207.06
2023-06-21,183.34
2023-06-22,159.2
2023-06-23,139.04
2023-06-24,94.04
2023-06-25,118.46
2023-06-26,140.46
2023-06-27,138.28
2023-06-28,122.8
2023-06-29,150.12
2023-06-30,145.65
2023-07-01,193.24
2023-07-02,187.81
2023-07-03,151.52
2023-07-04,168.91
2023-07-05,163.91
2023-07-06,160.71
2023-07-07,170.74
2023-07-08,116.31
2023-07-09,164.58
2023-07-10,150.72
2023-07-11,178.11
2023-07-12,166.67
2023-07-13,129.19
2023-07-14,152.05
2023-07-15,164.82
2023-07-16,156.36
2023-07-17,168.39
2023-07-18,200.28
2023-07-19,94.57
2023-07-20,125.83
2023-07-21,120.93
2023-07-22,87.33
2023-07-23,118.1
2023-07-24,116.98
2023-07-25,177.79
2023-07-26,211.34
2023-07-27,193.19
2023-07-28,143.68
2023-07-29,81.25
2023-07-30,87.02
2023-07-31,47.56
2023-08-01,171.36
2023-08-02,141.7
2023-08-03,137.54
2023-08-04,194.42
2023-08-05,117.01
2023-08-06,132.58
2023-08-07,206.02
2023-08-08,153.26
2023-08-09,147.09
2023-08-10,147.91
2023-08-11,143.7
2023-08-12,93.3
2023-08-13,135.55
2023-08-14,88.15
2023-08-15,122.8
2023-08-16,138.33
2023-08-17,136.2
2023-08-18,154.31
2023-08-19,69.83
2023-08-20,99.57
2023-08-21,56.92
2023-08-22,125.76
2023-08-23,132.48
2023-08-24,151.59
2023-08-25,134.63
2023-08-26,80.57
2023-08-27,104.16
2023-08-28,123.92
2023-08-29,200.71
2023-08-30,156.05
2023-08-31,156.32
2023-09-01,115.66
2023-09-02,77.61
2023-09-03,104.72
2023-09-04,139.27
2023-09-05,187.33
2023-09-06,146.28
2023-09-07,137.11
2023-09-08,167.04
2023-09-09,142.31
2023-09-10,113.06
2023-09-11,175.12
2023-09-12,151.36
2023-09-13,195.91
2023-09-14,154.56
2023-09-15,146.32
2023-09-16,101.88
2023-09-17,118.14
2023-09-18,164.14
2023-09-19,140.02
2023-09-20,147.17
2023-09-21,120.13
2023-09-22,208.52
2023-09-23,105.26
2023-09-24,98.52
2023-09-25,131.54
2023-09-26,139.47
2023-09-27,126.88
2023-09-28,109.87
2023-09-29,94.16
2023-09-30,110.81
2023-10-01,88.01
2023-10-02,132.86
2023-10-03,154.45
2023-10-04,137.26
2023-10-05,156.58
2023-10-06,66.24
2023-10-07,151.26
2023-10-08,139.05
2023-10-09,134.74
2023-10-10,185.84
2023-10-11,165.49
2023-10-12,120.92
2023-10-13,123.82
2023-10-14,66.71
2023-10-15,94.78
2023-10-16,96.85
2023-10-17,174.73
2023-10-18,155.42
2023-10-19,122.88
2023-10-20,38.98
2023-10-21,102.56
2023-10-22,100.06
2023-10-23,152.9
2023-10-24,111.8
2023-10-25,139.31
2023-10-26,148.95
2023-10-27,146.55
2023-10-28,120.07
2023-10-29,128.21
2023-10-30,114.89
2023-10-31,113.17
2023-11-01,133.17
2023-11-02,122.53
2023-11-03,80.45
2023-11-04,79.56
2023-11-05,138.47
2023-11-06,116.86
2023-11-07,153.28
2023-11-08,134.8
2023-11-09,164.83
2023-11-10,132.6
2023-11-11,68.43
2023-11-12,86.76
2023-11-13,119.63
2023-11-14,99.81
2023-11-15,118.29
2023-11-16,85.37
2023-11-17,102.24
2023-11-18,99.8
2023-11-19,119.86
2023-11-20,115.62
2023-11-21,125.56
2023-11-22,314.48
2023-11-23,215.53
2023-11-24,135.28
2023-11-25,98.71
2023-11-26,95.2
2023-11-27,127.3
2023-11-28,69.9
2023-11-29,140.91
2023-11-30,132.26
2023-12-01,146.29
2023-12-02,144.59
2023-12-03,115.46
2023-12-04,82.44
2023-12-05,115.19
2023-12-06,192.86
2023-12-07,102.5
2023-12-08,89.89
2023-12-09,72.7
2023-12-10,69.6
2023-12-11,121.85
2023-12-12,157.59
2023-12-13,172.02
2023-12-14,130.26
2023-12-15,137.49
2023-12-16,94.17
2023-12-17,85.6
2023-12-18,87.13
2023-12-19,104.95
2023-12-20,114.89
2023-12-21,81.39
2023-12-22,131.99
2023-12-23,136.06
2023-12-24,110.11
2023-12-25,59.32
2023-12-26,133.5
2023-12-27,205.68
2023-12-28,116.79
2023-12-29,176.69
2023-12-30,138.48
2023-12-31,101.63
